Name,Execution time in second
2_1_16_L,0.571368992
2_2_16_L,0.289429864
2_3_16_L,0.1979941
2_4_16_L,0.1484603
2_5_16_L,0.12186212
2_6_16_L,0.1033509
2_7_16_L,0.091376868
2_8_16_L,0.077975564
2_9_16_L,0.07358928
2_10_16_L,0.066001532
2_11_16_L,0.060187976
2_12_16_L,0.057024536
2_13_16_L,0.051543788
2_14_16_L,0.050320944
2_15_16_L,0.048213944
2_16_16_L,0.042733196
4_1_16_L,1.949002016
4_2_16_L,0.978246376
4_3_16_L,0.662730868
4_4_16_L,0.492868556
4_5_16_L,0.401223464
4_6_16_L,0.337233972
4_7_16_L,0.295380132
4_8_16_L,0.252249548
4_9_16_L,0.23769498
4_10_16_L,0.213078752
4_11_16_L,0.194633192
4_12_16_L,0.183948644
4_13_16_L,0.166677908
4_14_16_L,0.162449796
4_15_16_L,0.155474744
4_16_16_L,0.138149324
7_1_16_L,7.459534112
7_2_16_L,3.733512424
7_3_16_L,2.52167794
7_4_16_L,1.89119921
7_5_16_L,1.55118527
7_6_16_L,1.31332947
7_7_16_L,1.158068658
7_8_16_L,0.990740714
7_9_16_L,0.93044445
7_10_16_L,0.834350942
7_11_16_L,0.763134146
7_12_16_L,0.719292866
7_13_16_L,0.653068778
7_14_16_L,0.635484834
7_15_16_L,0.606885494
7_16_16_L,0.540511466
