Name,Execution time in second
2_1_1_L,0.02008836
2_2_1_L,0.010206892
2_3_1_L,0.00701399
2_4_1_L,0.005266158
2_5_1_L,0.00433118
2_6_1_L,0.003689982
2_7_1_L,0.00328481
2_8_1_L,0.002795822
2_9_1_L,0.002658624
2_10_1_L,0.00239065
2_11_1_L,0.002169636
2_12_1_L,0.002073256
2_13_1_L,0.001869446
2_14_1_L,0.001828628
2_15_1_L,0.001764464
2_16_1_L,0.001560654
4_1_1_L,0.066378024
4_2_1_L,0.033351724
4_3_1_L,0.022648166
4_4_1_L,0.016838574
4_5_1_L,0.013709228
4_6_1_L,0.01155699
4_7_1_L,0.010175114
4_8_1_L,0.008652398
4_9_1_L,0.008200872
4_10_1_L,0.00736105
4_11_1_L,0.006679812
4_12_1_L,0.006358024
4_13_1_L,0.005740838
4_14_1_L,0.005596484
4_15_1_L,0.00538868
4_16_1_L,0.004770126
7_1_1_L,0.25153668
7_2_1_L,0.125931052
7_3_1_L,0.08518487
7_4_1_L,0.063830958
7_5_1_L,0.05232374
7_6_1_L,0.044399262
7_7_1_L,0.03932033
7_8_1_L,0.033484142
7_9_1_L,0.031602504
7_10_1_L,0.02835817
7_11_1_L,0.025767036
7_12_1_L,0.024434056
7_13_1_L,0.022104086
7_14_1_L,0.021508388
7_15_1_L,0.020643944
7_16_1_L,0.018312654
