Name,Execution time in second
2_1_1_I,0.229802696
2_2_1_I,0.11629742
2_3_1_I,0.078724436
2_4_1_I,0.059544782
2_5_1_I,0.048506872
2_6_1_I,0.040947004
2_7_1_I,0.035642908
2_8_1_I,0.03116859
2_9_1_I,0.02825673
2_10_1_I,0.025813328
2_11_1_I,0.023726494
2_12_1_I,0.021971798
2_13_1_I,0.020476352
2_14_1_I,0.019367978
2_15_1_I,0.018373608
2_16_1_I,0.016980494
4_1_1_I,0.799993544
4_2_1_I,0.401392844
4_3_1_I,0.26938178
4_4_1_I,0.202092494
4_5_1_I,0.163293208
4_6_1_I,0.136756636
4_7_1_I,0.11810614
4_8_1_I,0.103051662
4_9_1_I,0.093196716
4_10_1_I,0.085064432
4_11_1_I,0.07801867
4_12_1_I,0.072087644
4_13_1_I,0.067126562
4_14_1_I,0.063347186
4_15_1_I,0.06002628
4_16_1_I,0.055357742
7_1_1_I,3.080756936
7_2_1_I,1.54177454
7_3_1_I,1.032011156
7_4_1_I,0.778371662
7_5_1_I,0.632134342
7_6_1_I,0.532116394
7_7_1_I,0.461820478
7_8_1_I,0.40276059
7_9_1_I,0.36377283
7_10_1_I,0.331810928
7_11_1_I,0.304068304
7_12_1_I,0.280709768
7_13_1_I,0.261261782
7_14_1_I,0.246235388
7_15_1_I,0.233151978
7_16_1_I,0.215046254
